Khu_vuc,Ten_SP,Gia_SP,So_Luong_ban,Ngay_ban
Hải Châu,Bóng đá,300000,50,2025-10-01
Hải Châu,Áo đấu,250000,80,2025-10-02
Thanh Bình,Giày thể thao,1200000,40,2025-10-03
Phước Ninh,Găng tay,150000,120,2025-10-04
An Hải Bắc,Balo thể thao,350000,60,2025-10-40
Thanh Bình,Bóng đá,300000,40,2025-10-04
Phước Ninh,Bóng đá,300000,28,2025-10-28
Thanh Bình,Balo thể thao,350000,12,2025-10-11
Bình Thuận,Áo đấu,250000,34,2025-10-23
Hòa Thuận Tây,Găng tay,150000,4,2025-10-28
An Hải Bắc,Balo thể thao,350000,16,2025-10-15
Phước Ninh,Bóng đá,300000,37,2025-10-25
Hòa Thuận Đông,Giày thể thao,1200000,4,2025-10-03
Bình Thuận,Áo đấu,250000,21,2025-10-22
Thanh Bình,Balo thể thao,350000,35,2025-10-08
Hòa Thuận Đông,Găng tay,150000,20,2025-10-04
Thuận Phước,Găng tay,150000,32,2025-10-13
Hòa Thuận Tây,Bóng đá,300000,11,2025-10-05
An Hải Bắc,Giày thể thao,1200000,22,2025-10-25
Thuận Phước,Áo đấu,250000,35,2025-10-12
Phước Ninh,Áo đấu,250000,5,2025-10-05
Thanh Bình,Găng tay,150000,7,2025-10-17
Hòa Thuận Tây,Giày thể thao,1200000,6,2025-10-07
Hải Châu,Giày thể thao,1200000,23,2025-10-01
Hòa Thuận Đông,Găng tay,150000,41,2025-10-10
Thuận Phước,Áo đấu,250000,31,2025-10-01
Hòa Thuận Đông,Bóng đá,300000,35,2025-10-11
Bình Thuận,Balo thể thao,350000,50,2025-10-25
Hòa Thuận Tây,Áo đấu,250000,8,2025-10-22
An Hải Bắc,Balo thể thao,350000,49,2025-10-24
Hòa Thuận Tây,Balo thể thao,350000,10,2025-10-19
Hòa Thuận Tây,Balo thể thao,350000,8,2025-10-21
Thuận Phước,Áo đấu,250000,28,2025-10-12
Thanh Bình,Bóng đá,300000,49,2025-10-06
Bình Thuận,Áo đấu,250000,45,2025-10-07
Thuận Phước,Găng tay,150000,32,2025-10-07
An Hải Bắc,Balo thể thao,350000,8,2025-10-02
Hòa Thuận Tây,Áo đấu,250000,10,2025-10-13
Thanh Bình,Găng tay,150000,16,2025-10-18
Thanh Bình,Balo thể thao,350000,46,2025-10-18
Bình Thuận,Balo thể thao,350000,33,2025-10-08
An Hải Bắc,Balo thể thao,350000,11,2025-10-02
Thanh Bình,Bóng đá,300000,24,2025-10-15
Phước Ninh,Găng tay,150000,46,2025-10-22
Thuận Phước,Bóng đá,300000,16,2025-10-27
An Hải Bắc,Giày thể thao,1200000,50,2025-10-14
An Hải Bắc,Bóng đá,300000,50,2025-10-13
Hải Châu,Giày thể thao,1200000,20,2025-10-25
Bình Thuận,Áo đấu,250000,11,2025-10-26
Hải Châu,Bóng đá,300000,25,2025-10-27
Hải Châu,Balo thể thao,350000,28,2025-10-07
Phước Ninh,Áo đấu,250000,40,2025-10-11
Hòa Thuận Tây,Giày thể thao,1200000,14,2025-10-03
Hòa Thuận Đông,Áo đấu,250000,7,2025-10-27
Thuận Phước,Găng tay,150000,27,2025-10-19
Thuận Phước,Bóng đá,300000,9,2025-10-14
An Hải Bắc,Balo thể thao,350000,49,2025-10-29
Bình Thuận,Balo thể thao,350000,3,2025-10-01
Hòa Thuận Tây,Bóng đá,300000,10,2025-10-18
Hòa Thuận Tây,Bóng đá,300000,38,2025-10-08
An Hải Bắc,Bóng đá,300000,29,2025-10-21
Bình Thuận,Bóng đá,300000,29,2025-10-25
Thuận Phước,Găng tay,150000,19,2025-10-21
Phước Ninh,Bóng đá,300000,23,2025-10-10
Hải Châu,Bóng đá,300000,4,2025-10-02
Phước Ninh,Áo đấu,250000,24,2025-10-08
Thuận Phước,Giày thể thao,1200000,47,2025-10-09
