khu_vuc,ten_san_pham,gia,so_luong,ngay_ban,status
Hải Châu,Bóng đá,300000,50,2025-10-01,PROCESSED_OK
Hải Châu,Áo đấu,250000,80,2025-10-02,PROCESSED_OK
Thanh Bình,Giày thể thao,1200000,40,2025-10-03,PROCESSED_OK
Phước Ninh,Găng tay,150000,120,2025-10-04,PROCESSED_OK
Thanh Bình,Bóng đá,300000,40,2025-10-04,PROCESSED_OK
Phước Ninh,Bóng đá,300000,28,2025-10-28,PROCESSED_OK
Thanh Bình,Balo thể thao,350000,12,2025-10-11,PROCESSED_OK
Bình Thuận,Áo đấu,250000,34,2025-10-23,PROCESSED_OK
Hòa Thuận Tây,Găng tay,150000,4,2025-10-28,PROCESSED_OK
An Hải Bắc,Balo thể thao,350000,16,2025-10-15,PROCESSED_OK
Phước Ninh,Bóng đá,300000,37,2025-10-25,PROCESSED_OK
Hòa Thuận Đông,Giày thể thao,1200000,4,2025-10-03,PROCESSED_OK
Bình Thuận,Áo đấu,250000,21,2025-10-22,PROCESSED_OK
Thanh Bình,Balo thể thao,350000,35,2025-10-08,PROCESSED_OK
Hòa Thuận Đông,Găng tay,150000,20,2025-10-04,PROCESSED_OK
Thuận Phước,Găng tay,150000,32,2025-10-13,PROCESSED_OK
Hòa Thuận Tây,Bóng đá,300000,11,2025-10-05,PROCESSED_OK
An Hải Bắc,Giày thể thao,1200000,22,2025-10-25,PROCESSED_OK
Thuận Phước,Áo đấu,250000,35,2025-10-12,PROCESSED_OK
Phước Ninh,Áo đấu,250000,5,2025-10-05,PROCESSED_OK
Thanh Bình,Găng tay,150000,7,2025-10-17,PROCESSED_OK
Hòa Thuận Tây,Giày thể thao,1200000,6,2025-10-07,PROCESSED_OK
Hải Châu,Giày thể thao,1200000,23,2025-10-01,PROCESSED_OK
Hòa Thuận Đông,Găng tay,150000,41,2025-10-10,PROCESSED_OK
Thuận Phước,Áo đấu,250000,31,2025-10-01,PROCESSED_OK
Hòa Thuận Đông,Bóng đá,300000,35,2025-10-11,PROCESSED_OK
Bình Thuận,Balo thể thao,350000,50,2025-10-25,PROCESSED_OK
Hòa Thuận Tây,Áo đấu,250000,8,2025-10-22,PROCESSED_OK
An Hải Bắc,Balo thể thao,350000,49,2025-10-24,PROCESSED_OK
Hòa Thuận Tây,Balo thể thao,350000,10,2025-10-19,PROCESSED_OK
Hòa Thuận Tây,Balo thể thao,350000,8,2025-10-21,PROCESSED_OK
Thuận Phước,Áo đấu,250000,28,2025-10-12,PROCESSED_OK
Thanh Bình,Bóng đá,300000,49,2025-10-06,PROCESSED_OK
Bình Thuận,Áo đấu,250000,45,2025-10-07,PROCESSED_OK
Thuận Phước,Găng tay,150000,32,2025-10-07,PROCESSED_OK
An Hải Bắc,Balo thể thao,350000,8,2025-10-02,PROCESSED_OK
Hòa Thuận Tây,Áo đấu,250000,10,2025-10-13,PROCESSED_OK
Thanh Bình,Găng tay,150000,16,2025-10-18,PROCESSED_OK
Thanh Bình,Balo thể thao,350000,46,2025-10-18,PROCESSED_OK
Bình Thuận,Balo thể thao,350000,33,2025-10-08,PROCESSED_OK
An Hải Bắc,Balo thể thao,350000,11,2025-10-02,PROCESSED_OK
Thanh Bình,Bóng đá,300000,24,2025-10-15,PROCESSED_OK
Phước Ninh,Găng tay,150000,46,2025-10-22,PROCESSED_OK
Thuận Phước,Bóng đá,300000,16,2025-10-27,PROCESSED_OK
An Hải Bắc,Giày thể thao,1200000,50,2025-10-14,PROCESSED_OK
An Hải Bắc,Bóng đá,300000,50,2025-10-13,PROCESSED_OK
Hải Châu,Giày thể thao,1200000,20,2025-10-25,PROCESSED_OK
Bình Thuận,Áo đấu,250000,11,2025-10-26,PROCESSED_OK
Hải Châu,Bóng đá,300000,25,2025-10-27,PROCESSED_OK
Hải Châu,Balo thể thao,350000,28,2025-10-07,PROCESSED_OK
Phước Ninh,Áo đấu,250000,40,2025-10-11,PROCESSED_OK
Hòa Thuận Tây,Giày thể thao,1200000,14,2025-10-03,PROCESSED_OK
Hòa Thuận Đông,Áo đấu,250000,7,2025-10-27,PROCESSED_OK
Thuận Phước,Găng tay,150000,27,2025-10-19,PROCESSED_OK
Thuận Phước,Bóng đá,300000,9,2025-10-14,PROCESSED_OK
An Hải Bắc,Balo thể thao,350000,49,2025-10-29,PROCESSED_OK
Bình Thuận,Balo thể thao,350000,3,2025-10-01,PROCESSED_OK
Hòa Thuận Tây,Bóng đá,300000,10,2025-10-18,PROCESSED_OK
Hòa Thuận Tây,Bóng đá,300000,38,2025-10-08,PROCESSED_OK
An Hải Bắc,Bóng đá,300000,29,2025-10-21,PROCESSED_OK
Bình Thuận,Bóng đá,300000,29,2025-10-25,PROCESSED_OK
Thuận Phước,Găng tay,150000,19,2025-10-21,PROCESSED_OK
Phước Ninh,Bóng đá,300000,23,2025-10-10,PROCESSED_OK
Hải Châu,Bóng đá,300000,4,2025-10-02,PROCESSED_OK
Phước Ninh,Áo đấu,250000,24,2025-10-08,PROCESSED_OK
Thuận Phước,Giày thể thao,1200000,47,2025-10-09,PROCESSED_OK
Thuận Phước,Bóng đá,300000,31,2025-10-05,PROCESSED_OK
Phước Ninh,Áo đấu,250000,16,2025-10-20,PROCESSED_OK
Thanh Bình,Găng tay,150000,8,2025-10-18,PROCESSED_OK
Hải Châu,Áo đấu,250000,6,2025-10-27,PROCESSED_OK
Hòa Thuận Tây,Áo đấu,250000,4,2025-10-10,PROCESSED_OK
Bình Thuận,Găng tay,150000,3,2025-10-15,PROCESSED_OK
Thanh Bình,Áo đấu,250000,44,2025-10-13,PROCESSED_OK
Hải Châu,Áo đấu,250000,19,2025-10-21,PROCESSED_OK
Hải Châu,Áo đấu,250000,10,2025-10-30,PROCESSED_OK
Phước Ninh,Balo thể thao,350000,28,2025-10-04,PROCESSED_OK
Hòa Thuận Tây,Giày thể thao,1200000,20,2025-10-20,PROCESSED_OK
Thanh Bình,Balo thể thao,350000,6,2025-10-22,PROCESSED_OK
Thuận Phước,Balo thể thao,350000,17,2025-10-29,PROCESSED_OK
Thuận Phước,Áo đấu,250000,29,2025-10-07,PROCESSED_OK
Thanh Bình,Bóng đá,300000,15,2025-10-10,PROCESSED_OK
Hải Châu,Giày thể thao,1200000,39,2025-10-27,PROCESSED_OK
Thanh Bình,Giày thể thao,1200000,28,2025-10-13,PROCESSED_OK
Hòa Thuận Đông,Áo đấu,250000,44,2025-10-26,PROCESSED_OK
Hải Châu,Áo đấu,250000,36,2025-10-30,PROCESSED_OK
Thanh Bình,Giày thể thao,1200000,5,2025-10-23,PROCESSED_OK
An Hải Bắc,Bóng đá,300000,24,2025-10-06,PROCESSED_OK
An Hải Bắc,Balo thể thao,350000,44,2025-10-28,PROCESSED_OK
Hòa Thuận Tây,Áo đấu,250000,15,2025-10-15,PROCESSED_OK
An Hải Bắc,Giày thể thao,1200000,27,2025-10-25,PROCESSED_OK
An Hải Bắc,Găng tay,150000,50,2025-10-29,PROCESSED_OK
